pmid	contains_interactions	correct_pairs	curator	set
12925712	yes	no	Simona	
14511394	yes	no	Simona	
14517278	yes	no	Simona	
14530380	yes/no		Livia	last.dsp.prio
14557248	yes		Livia	last.dsp.prio
14557253	yes	yes	Kalpana	last.dsp.prio
14662745	no		Pablo	
14662753	yes	no	Simona	
14668441	yes	yes	Kalpana	last.dsp.prio
14691142	yes		Livia	last.dsp.prio
14718519	yes	no|yes	Simona	
14757752	yes		Livia	last.dsp.prio
15007061	yes	yes	Simona	
15018649	no		Pablo	
15024032	no	no	Simona	
15138291	yes		Livia	last.dsp.prio
15210733	yes	no	Simona	
15210742	no	no	Simona	
15289496	no	no	Simona	
15289498	yes		Livia	last.dsp.prio
15337760	No		Prisca	last.dsp.prio
15479736	yes		Luana	
15534001	yes	yes	Simona	
15557120	yes	no	Simona	
15657037	Yes		Mgt	last.dsp.prio
15657136	Yes		Mgt	last.dsp.prio
15657435	Yes		Mgt	last.dsp.prio
15683240	yes	yes	Kalpana	last.dsp.prio
15699075	yes	no	Simona	
15728506	yes		mgt	last.dsp.prio
15737063	yes	no	Simona	
15767370	yes	yes|no	Luana	
15793576	yes		Nancy Campbell	last.dsp.prio
15804357	no		Luana	
15837803	yes		Luana	
15862129	yes		Livia	last.dsp.prio
15883197	no		Livia	last.dsp.prio
15939795	no		Livia	last.dsp.prio
15951156	no	no	Kalpana	last.dsp.prio
15983061	yes	yes	Luana|Pablo	last.dsp.prio
16030353	yes	no	Luana	
16087734	yes	yes	Kalpana	last.dsp.prio
16103132	yes		Luana	
16172258	no		Luana	
16201016	yes		Livia	last.dsp.prio
16254078	No	yes	Sandra	last.dsp.prio
16260491	no		Pablo	
16282588	yes	yes	livia|Luana	last.dsp.prio
16301747	yes	no|yes	Luana	
16330715	yes		Livia	last.dsp.prio
16397295	yes- but relevance to DSP?		Mgt	last.dsp.prio
16402859	yes	yes	Luana	
16418392	no		Luana	
16455647	yes		mgt	last.dsp.prio
16582100	yes		Pablo	
16618814	yes		Luana	
16702231	yes	no|yes	Luana	
16707008	no		Luana	
16826513	No		Sandra	last.dsp.prio
16859511	yes		Luana	
16879721	no		Luana	
16951355	yes		Mgt	last.dsp.prio
17003037	yes		Prisca	last.dsp.prio
17013611	no	no	Kalpana	last.dsp.prio
17030947	no		Luana	
17030981	yes	no	Luana	
17070842	yes	yes	Kalpana	last.dsp.prio
17096843	no		Luana	
17127621	yes		Livia	last.dsp.prio
17158164	yes		Livia	last.dsp.prio
17175537	Yes		Mgt	last.dsp.prio
17178910	Yes		Mgt	last.dsp.prio
17227585	yes		Luana	
17244359	no		Livia	last.dsp.prio
17261635	no		Luana	
17283181	yes	no	Luana	
17292838	yes		Pablo	
17327823	yes		Luana	
17375192	no		Luana	
17375204	no		Luana	
17389238	yes		Pablo	
17426132	yes	yes|no	Luana	
17437629	yes		Livia	last.dsp.prio
17452530	yes	yes	Luana	
17470272	no	no	Kalpana	last.dsp.prio
17485511	yes	no	Luana	
17521451	No		Prisca	last.dsp.prio
17542650	yes		Luana	
17557078	yes		Luana	
17606866	no		Luana	
17620406	yes- but relevance to DSP?		Mgt	last.dsp.prio
17626041	yes		Livia	last.dsp.prio
17670796	yes		Luana	
17682053	yes		Pablo	
17693435	Yes		Sandra	last.dsp.prio
17698606			Livia	last.dsp.prio
17726518	No		Sandra	last.dsp.prio
17760859	yes	yes	Luana	
17785517	yes		Livia	last.dsp.prio
17786190	no		Luana	
17868464	no		Livia	last.dsp.prio
17913746	Yes	yes	Sandra	last.dsp.prio
17954568	yes		Luana	
18003659	yes		Livia	last.dsp.prio
18046455	yes	no|yes	Luana	
18053089	yes		Luana	
18056410	yes		marta	last.dsp.prio
18086704	yes		Luana	
18096080	no		Pablo	
18154660	No		Sandra	last.dsp.prio
18159247	yes		Luana	
18166656	yes	yes	Luana	
18195106	yes	|no|yes	Simona	
18225953	yes		Luana	
18226221	yes		Luana	
18268102	no		Luana	
18281698	Yes	yes	Sandra|Luana	last.dsp.prio
18307765	no	no	Simona	
18312651	yes	yes	Kalpana	last.dsp.prio
18320024	yes		mgt	last.dsp.prio
18332182	yes	yes	Kalpana|Pablo	last.dsp.prio
18354194	No		Nancy Campbell	last.dsp.prio
18365011	yes		Luana	
18366812	yes		Luana	
18373870	No		Sandra	last.dsp.prio
18377662	yes		Luana	
18382669	no		Luana	
18412956	yes	yes|no	Simona	
18430226	Yes		Mgt	last.dsp.prio
18447585	yes	yes	Simona	
18463134	no		Livia	last.dsp.prio
18494935	no		Pablo	
18498667	yes		Luana	
18541028	No		Sandra	last.dsp.prio
18545641	No		Sandra	last.dsp.prio
18559666	Yes		Sandra	last.dsp.prio
18560563	yes		Livia	last.dsp.prio
18586828	yes		Luana	
18588690	yes		Luana	
18606850	yes		Luana	
18606856	no		Luana	
18628979	yes		Pablo	
18654640	no	no	Simona	
18660514	yes		Luana	last.dsp.prio
18676979	yes	no|yes	Simona	
18769617	no		Luana	
18779368	yes		Luana	
