pmid	curator	curatable	curator_comment	prot_pairs	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred	prot_ac
19042971				A0A024RCX5_P10914|A0A024RCX5_Q6FHN8|A0A024RCX5_X5D3F6|A0A087WT22_Q7Z5L9|A0A087WXZ1_Q7Z5L9|A0A087X1Q1_Q7Z5L9|H2EHT1_Q7Z5L9|K7PPA8_Q7Z5L9|P04637_Q7Z5L9|P10914_P38936|P14316_Q7Z5L9|P38936_Q6FHN8|P38936_X5D3F6|Q53GA5_Q7Z5L9	no (Q7Z5L9)	part	yes	ChIP data	no	no	no	no	no	no	yes	part	yes	yes	part	no	no	no	no	no	no	no	part	Q7Z5L9
22069485				P01130_P02649|P02649_P10144|P02649_P34741|P02649_P98160|P02649_Q15477	no (Q15477)	no	yes		no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	P01130
22069485				P01130_P02649|P02649_P10144|P02649_P34741|P02649_P98160|P02649_Q15477	no (Q15477)	no	yes		no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	P02649
27542279				O15379_P01308|O15379_Q11206|P01308_Q11206	no (Q11206)	part	yes	ChIP data	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	no	Q11206
22053213				A0A024RBH2_A0A0C4DFS1|A0A024RBH2_B7Z2I3|A0A024RBH2_E7BSV0|A0A024RBH2_E9PFD7|A0A024RBH2_F2YGG7|A0A024RBH2_H0YIS1|A0A024RBH2_P00533|A0A024RBH2_P13942|A0A024RBH2_P31947|A0A024RBH2_Q4VXY6|A0A024RBH2_Q504U8|A0A0C4DFS1_Q07065|B7Z2I3_Q07065|E7BSV0_Q07065|E9PFD7_Q07065|F2YGG7_Q07065|H0YIS1_Q07065|P00533_Q07065|P13942_Q07065|P31947_P60709|P31947_Q07065|P31947_Q1KLZ0|Q07065_Q4VXY6|Q07065_Q504U8	no (Q07065)	part	yes	ChIP data	no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	P31947
20110263				A0A024RAP2_F1D8S4|A0A024RAP2_Q07869|A0A024RDG5_F1D8S4|A0A024RDG5_Q07869|A8MTU8_F1D8S4|A8MTU8_Q07869|B3KR77_F1D8S4|B3KR77_Q07869|B7Z7I2_Q01167|E5KQF5_Q01167|E5KQF6_Q01167|F1D8N4_Q01167|F1D8S4_P04035|F1D8S4_P20226|F1D8S4_P35610|F1D8S4_P36956|F1D8S4_Q14693|F1D8S4_Q15800|F1D8S4_Q32MN7|F1D8S4_Q53EU6|F1D8S4_Q9UNE7|P04035_Q07869|P04150_Q01167|P20226_P35610|P20226_Q07869|P35610_P49715|P35610_Q07869|P36956_Q07869|P37268_Q07869|P49715_Q07869|Q01581_Q07869|Q07869_Q14693|Q07869_Q15800|Q07869_Q32MN7|Q07869_Q53EU6|Q07869_Q9UNE7	no (Q01581,Q14693,Q15800,Q53EU6)	part	yes	ChIP data	no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	part	part	Q07869
20110263				A0A024RAP2_F1D8S4|A0A024RAP2_Q07869|A0A024RDG5_F1D8S4|A0A024RDG5_Q07869|A8MTU8_F1D8S4|A8MTU8_Q07869|B3KR77_F1D8S4|B3KR77_Q07869|B7Z7I2_Q01167|E5KQF5_Q01167|E5KQF6_Q01167|F1D8N4_Q01167|F1D8S4_P04035|F1D8S4_P20226|F1D8S4_P35610|F1D8S4_P36956|F1D8S4_Q14693|F1D8S4_Q15800|F1D8S4_Q32MN7|F1D8S4_Q53EU6|F1D8S4_Q9UNE7|P04035_Q07869|P04150_Q01167|P20226_P35610|P20226_Q07869|P35610_P49715|P35610_Q07869|P36956_Q07869|P37268_Q07869|P49715_Q07869|Q01581_Q07869|Q07869_Q14693|Q07869_Q15800|Q07869_Q32MN7|Q07869_Q53EU6|Q07869_Q9UNE7	no (Q01581,Q14693,Q15800,Q53EU6)	part	yes	ChIP data	no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	part	part	P04035
18498667				A0A024R499_P40763|O14939_P00740|O14939_P07949|O14939_P59533|O14939_Q13635|P00740_P07949|P00740_P40763|P07949_P07949|P07949_P35610|P07949_P40763|P07949_P59533|P07949_Q13393|P07949_Q13635|P35568_P40763|P35610_Q13635|P40763_P59533|P40763_Q13635	no (P59533)	part	yes		no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	no	part	P35568
28128295				O00571_P41235|O00571_P55157|O00571_Q15466|O00571_Q86UG4|O00571_Q92793|O00571_Q9NWQ8|P41235_P55157|P41235_Q15466|P41235_Q86UG4|P41235_Q92793|P41235_Q9NWQ8|P55157_Q15466|P55157_Q86UG4	no (P55157,Q86UG4)	part	yes		no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	P41235
28128295				O00571_P41235|O00571_P55157|O00571_Q15466|O00571_Q86UG4|O00571_Q92793|O00571_Q9NWQ8|P41235_P55157|P41235_Q15466|P41235_Q86UG4|P41235_Q92793|P41235_Q9NWQ8|P55157_Q15466|P55157_Q86UG4	no (P55157,Q86UG4)	part	yes		no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	Q15466
