pair_id_clean	pubid	EBI_GOA_nonIntAct
P02489_Q07812	14752512	1
P02511_Q07812	14752512	1
P06493_Q07812	11574543	1
P31947_Q07812	11574543	1
Q07812_Q8IVG9	12732850	1
P10909_Q07812	16113678	1
Q07812_Q07812	16113678	1
Q07812_Q9HD36	11278245	1
Q07812_Q16611	11571294	1
P55957_Q07812	17052454	1
Q07812_Q16548	10753914	1
Q07812_Q13794	15705586	1
P10415_Q07812	9111042	1
Q07812_Q07812	9111042	1
P63244_Q07812	20541605	1
Q07812_Q9Y371	11161816	1
Q07817_Q96BY2	11060313	1
Q07817_Q9UKT9	11714801	1
Q07817_Q92934	21081150	1
Q07817_Q9NQC3	11126360	1
Q07817_Q16611	15901672	1
Q07817_Q9BXH1	16608847	1
Q07817_Q99638	11971963	1
P02489_Q07817	14752512	1
P02511_Q07817	14752512	1
P55061_Q07817	9660918	1
Q07817_Q8N5K1	20010695	1
Q07817_Q9Y5Z4	21639858	1
Q07817_Q9BZR8	11054413	1
P04637_Q07817	12667443	1
Q07817_Q9HD36	11278245	1
O15304_Q07817	12011449	1
O15304_Q07817	14739602	1
Q07817_Q9NYF8	10837489	1
Q07817_Q92934	19667065	1
Q07817_Q9BXH1	11463391	1
Q07817_Q9H4B4	21840391	1
P21796_Q07817	25296756	1
P63244_Q07817	20541605	1
Q07817_Q14296	15110758	1
P55957_Q07820	21036904	1
Q07820_Q16611	21036904	1
P04637_Q07820	10837489	1
Q07820_Q16611	10837489	1
Q07820_Q14457	24113155	1
Q07820_Q13794	21145489	1
P82251_Q07837	12167606	1
O14656_Q07866	14970196	1
O94985_Q07866	17332754	1
Q07866_Q9UQF2	11238452	1
Q07866_Q969J3	25898167	1
Q07866_Q86WG3	19861499	1
P19793_Q07869	11915042	1
O75376_Q07869	19955185	1
P63279_Q07869	19955185	1
Q07869_Q15648	9653119	1
Q07869_Q96EB6	24043310	1
P42224_Q07869	26504087	1
O43639_Q07889	10026169	1
P16333_Q07889	10026169	1
Q07912_Q6UVK1	10587647	1
P31749_Q07912	20333297	1
Q07954_Q6Q788	18635818	1
P00734_Q07954	8626514	1
P05121_Q07954	8626514	1
Q07954_Q6Q788	17326667	1
Q07955_Q96IZ7	15798186	1
O75475_Q07955	9885563	1
Q07955_Q15696	9237760	1
Q07955_Q9H0G5	21296756	1
Q07960_Q7Z465	12901880	1
Q08043_Q14524	19943616	1
Q08043_Q86TC9	11309420	1
Q08043_Q9NP98	11171996	1
P53350_Q08050	19160488	1
P63096_Q08116	18434541	1
Q08117_Q96QT6	11390640	1
O95343_Q08117	12441302	1
Q08209_Q9NP98	11114196	1
Q08209_Q9NPC6	11114196	1
Q08209_Q8TDC0	11842093	1
P16298_Q08209	11005320	1
Q08209_Q08209	11005320	1
P19634_Q08209	22688515	1
O00429_Q08209	18838687	1
Q08211_Q9NZI8	17289661	1
P16104_Q08211	17498979	1
Q08334_Q8IU57	12483210	1
Q08345_Q8IX03	18190796	1
Q08378_Q7Z5G4	14522980	1
Q08379_Q9BQQ3	16489344	1
Q08379_Q9Y3M2	15194699	1
Q08379_Q8N2Y8	15796781	1
O14744_Q08379	20421892	1
Q08379_Q13190	18167358	1
O00506_Q08379	20332113	1
Q08379_Q9BUL8	20332113	1
Q08379_Q9P289	20332113	1
Q08379_Q9Y6E0	20332113	1
Q08379_Q9BQQ3	18045989	1
P50542_Q08426	20178365	1
P04040_Q08426	16781659	1
P11166_Q08495	18347014	1
P27987_Q08495	23060452	1
P16615_Q08499	21903937	1
Q08499_Q92736	16213210	1
P32121_Q08499	19372219	1
P63244_Q08499	20819076	1
Q08722_Q9P1W8	15383453	1
P07900_Q08752	9660753	1
P12235_Q08752	16507998	1
P42768_Q08881	8892607	1
O43561_Q08881	12186560	1
Q08945_Q96QD9	19836239	1
P29590_Q08999	22002537	1
Q08999_Q13574	16286473	1
P02545_Q09013	21949239	1
Q09028_Q92769	17827154	1
P06400_Q09028	7503932	1
Q09028_Q8IWS0	22720776	1
P28370_Q09028	14609955	1
Q09028_Q12830	14609955	1
O43310_Q09161	19648179	1
P52298_Q09161	7478990	1
P52298_Q09161	26382858	1
Q09161_Q53F19	26382858	1
P60228_Q09161	17468741	1
P31943_Q09161	9111328	1
P52597_Q09161	9111328	1
Q09161_Q86V81	17190602	1
Q09161_Q9NZI8	17289661	1
Q09428_Q14654	20610380	1
Q09470_Q8N5I3	19968958	1
P10914_Q09472	15509808	1
P51530_Q09472	20019387	1
P12004_Q09472	24939902	1
P10275_Q09472	18487222	1
Q09472_Q99966	16864582	1
P78545_Q09472	15075319	1
Q09472_Q9Y6B2	11073990	1
P12980_Q09472	18160048	1
P01106_Q09472	15674325	1
Q09472_Q99966	10722728	1
P04637_Q09472	9194565	1
O00327_Q09472	14645221	1
O15516_Q09472	14645221	1
Q09472_Q99743	14645221	1
Q09472_Q9BZS1	16652169	1
P35398_Q09472	9862959	1
P56524_Q09472	24413532	1
Q09472_Q9UQL6	24413532	1
P35638_Q09472	17872950	1
Q09472_Q9NPI1	20228809	1
P15923_Q09472	12435739	1
P15923_Q09472	14752053	1
Q09472_Q13562	14752053	1
P39748_Q09472	11430825	1
Q09472_Q15650	25219498	1
Q09472_Q12778	15890677	1
P40763_Q09472	26504087	1
P42224_Q09472	26504087	1
P84022_Q09472	15588252	1
Q09472_Q9UIH9	23999430	1
P03372_Q09472	11581164	1
Q09472_Q96PN7	11349124	1
P35222_Q09472	15843474	1
Q09472_Q99966	15843474	1
Q09472_Q6ZSB9	25245946	1
P18146_Q09472	20018936	1
P04637_Q09472	19234109	1
P04637_Q09472	10518217	1
Q09472_Q8WYH8	12750254	1
Q09472_Q9UNL4	12750254	1
Q09472_Q8IXJ6	18722353	1
Q09472_Q16665	9887100	1
Q09472_Q99967	9887100	1
P05549_Q09472	12586840	1
Q09472_Q99967	12586840	1
P46379_Q09472	17403783	1
Q09472_Q16665	15261140	1
Q09472_Q99814	15261140	1
O75923_Q09666	17185750	1
Q09666_Q9NZM1	17185750	1
P55160_Q09666	16417406	1
P60903_Q09666	14699089	1
Q0VDF9_Q99543	16002468	1
Q10570_Q9H6E5	21102410	1
P51003_Q10570	7590244	1
Q10570_Q12996	7590244	1
Q10589_Q10589	20399176	1
P59901_Q10589	19564354	1
P50281_Q10589	22065321	1
Q12768_Q9BTU6	23676666	1
O75165_Q12768	24643499	1
Q12768_Q96QK1	23331060	1
P55735_Q12769	15146057	1
P57740_Q12769	15146057	1
Q12769_Q8NFH3	15146057	1
Q12770_Q8WU17	19706601	1
Q12772_Q8WU17	19706601	1
A1E959_Q12774	25911094	1
