Pubmed	Owner	Status	Admin Users	Admin Groups	
19930715	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21858214	PMDaemon	NEW		IMEX CURATORS
11402068	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21695085	PMDaemon	NEW		IMEX CURATORS
20406461	PMDaemon	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
21080941	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18989459	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
27782195	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21252297	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17437629	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
20385601	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18796617	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17868464	PMDaemon	NEW		IMEX CURATORS
15939795	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
12021313	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21876773	PMDaemon	INPROGRESS	liviap	INTACT,IMEX CURATORS
12163469	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
12904255	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
19145258	PMDaemon	NEW		IMEX CURATORS
21368882	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17931718	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20958966	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18560563	PMDaemon	NEW		IMEX CURATORS
21711548	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17785517	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18320024	PMDaemon	RELEASED	mgt	INTACT,IMEX CURATORS
19843605	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
14691142	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21760980	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21152186	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15289498	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
14757752	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21235772	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20543986	PMDaemon	NEW		IMEX CURATORS
21349159	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21221177	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20980406	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
20711462	PMDaemon	NEW		IMEX CURATORS
19139264	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17698606	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22139533	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
16087734	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
16880255	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19943940	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20819937	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21951318	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21350583	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15862129	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
18936234	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19443441	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21548981	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
2476804	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
