pmid	curator	curatable	curator_comment	prot_pairs	relevance	DS.interest	DS.part_interest	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred
16709257				A3F768_P42224|A3F768_Q969Q1|A3F769_P42224|A3F769_Q969Q1|O14625_P13500|O14625_P80075|O15226_P42224|O15226_Q969Q1|P21399_P35610|P21399_P98066|P21399_Q969Q1|P35610_P98066|P35610_Q9HBB2|P35610_V9HWB7|P49682_Q6IBD6|P49682_Q99731|P98066_Q969Q1|P98066_Q9HBB2|P98066_V9HWB7|Q969Q1_Q9HBB2|Q969Q1_V9HWB7	6.9999862406666	3	4	no (P49682,P80075)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
21938229				A0A024RA31_A0A0A1TSG4|A0A024RA31_Q08722|A0A0A1TSG4_P21817|A0A0A1TSG4_P29972|A0A0C4DFT7_P02730|E9PD10_P02730|E9PDY4_P21817|P02724_P02730|P02730_Q14419|P17927_P21817|P21817_Q08722|P29972_Q08722	6.99947973976447	1	4	no (P17927)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
8647924				A0PJA6_P02790|A0PJA6_Q9BS19|P02787_P02790|P02787_Q9BS19|P02790_Q06AH7|Q06AH7_Q9BS19	6.99944463319486	0	0	no (P02790)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
27315204				P21583_P63208|P21583_Q13616|P21583_Q99683|P63208_Q13616|Q13616_Q99683	6.99927735191236	2	5		no			no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part
20308062				A0A087X1N6_B3KY40|A0A087X1N6_H3BST1|A0A087X1N6_Q9UL45|B3KY40_F1T0F0|B3KY40_Q6QNY1|F1T0F0_H3BST1|F1T0F0_Q9UL45|H3BST1_Q6QNY1|Q6QNY1_Q9UL45	6.99894389197117	1	5		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
12524438				B4DZF8_Q06190|F6WIT2_Q06190|Q06190_Q15257	6.99856470084716	1	3		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
10601253				B7Z7I2_Q02790|E5KQF5_Q02790|E5KQF6_Q02790|F1D8N4_Q02790|P04150_Q02790	6.99854560014941	1	5		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
16849487				A0A0S2Z4S4_Q9BT09|B3KWR9_Q9BT09|O00206_Q9BT09|O60603_Q9BT09|Q9BT09_Q9Y6Y9	6.99840049971408	1	5	no (Q9BT09)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
15234273				F1D8Q5_F1D8S6|F1D8Q5_P10826|F1D8Q5_Q15788|F1D8Q5_Q3SB16|F1D8Q5_Q5QHG3|F1D8Q5_Q86UC5|F1D8Q5_Q9Y3R0|F1D8S6_P19793|F1D8S6_Q15788|F1D8S6_Q6P3U7|F1D8S6_Q9Y3R0|P10826_P19793|P10826_Q15788|P10826_Q6P3U7|P10826_Q9Y3R0|P19793_Q15788|P19793_Q3SB16|P19793_Q5QHG3|P19793_Q86UC5|P19793_Q9Y3R0|Q15788_Q3SB16|Q15788_Q5QHG3|Q15788_Q6P3U7|Q15788_Q86UC5|Q3SB16_Q6P3U7|Q3SB16_Q9Y3R0|Q5QHG3_Q6P3U7|Q5QHG3_Q9Y3R0|Q6P3U7_Q86UC5|Q6P3U7_Q9Y3R0|Q86UC5_Q9Y3R0	6.99752163766754	1	15		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
21401968				B4DIX5_B4DJ51|B4DIX5_E7ETZ0|B4DIX5_P0DP23|B4DIX5_P0DP24|B4DIX5_P0DP25|B4DIX5_P17643|B4DIX5_Q9HBA0|B4DIX5_Q9UKS6|B4DJ51_P17643|B4DJ51_Q8TD43|B4DJ51_Q9HBA0|B4DJ51_Q9UKS6|E7ETZ0_P17643|E7ETZ0_Q8TD43|E7ETZ0_Q9HBA0|E7ETZ0_Q9UKS6|P0DP23_P17643|P0DP23_Q8TD43|P0DP23_Q9HBA0|P0DP23_Q9UKS6|P0DP24_P17643|P0DP24_Q8TD43|P0DP24_Q9HBA0|P0DP24_Q9UKS6|P0DP25_P17643|P0DP25_Q8TD43|P0DP25_Q9HBA0|P0DP25_Q9UKS6|P17643_Q8TD43|P17643_Q9HBA0|P17643_Q9UKS6|Q8TD43_Q9HBA0|Q8TD43_Q9UKS6|Q9HBA0_Q9UKS6	6.99752163766754	0	0	no (P0DP23,P0DP24,P0DP25,Q8TD43)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
9723706				B0AZV7_K3W4U1|B0AZV7_L0N195|B0AZV7_P01562|B0AZV7_P06734|B0AZV7_P20023|B4DT49_K3W4U1|B4DT49_L0N195|B4DT49_P01562|B4DT49_P06734|B4DT49_P20023|K3W4U1_P01730|L0N195_P01730|P01562_P01730|P01730_P06734|P01730_P20023	6.99752163766754	0	0	no (P01562,P20023)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
19949546				A0A024R3C7_P27694|A0A024RDJ4_P27694|A5JUZ3_P27694|B4DGM0_D6RIS4|B4DGM0_P35548|C9J167_D6RIS4|C9J167_P35548|D6RIS4_P54278|D6RIS4_Q7Z3Q2|P19838_P27694|P23025_Q9UPV0|P24522_P27694|P27694_Q13315|P35548_P54278|P35548_Q7Z3Q2|P43246_Q06609	6.99730869352158	3	7		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
21559216				B7Z2I3_P78368|D0VY79_P29279|D0VY79_Q5M8T4|E7BSV0_P78368|E9PFD7_P78368|F2YGG7_P78368|P00533_P78368|P01133_P78368|P01133_Q96PG8|P01133_Q9BXH1|P28482_P78368|P28482_Q96PG8|P28482_Q9BXH1|P29279_Q16665|P78368_Q1HBJ4|P78368_Q499G7|P78368_Q504U8|P78368_Q96PG8|P78368_Q9BXH1|Q16665_Q5M8T4|Q1HBJ4_Q96PG8|Q1HBJ4_Q9BXH1|Q499G7_Q96PG8|Q499G7_Q9BXH1	6.99670498081353	5	20	no (Q96PG8)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
20075150				A0A087WZC2_O75794|A0A087WZC2_Q5SQQ7|A0A087WZC2_Q8IU85|A0A0A0MTL7_O75794|A0A0C4DGS8_O75794|A0A0C4DGS8_Q5SQQ7|A0A0C4DGS8_Q8IU85|A0A0D9SGH8_O75794|C6ZRJ7_O75794|C6ZRK1_O75794|C6ZRK2_O75794|C6ZRK5_O75794|E0YMJ6_O75794|E0YMJ6_Q5SQQ7|E0YMJ6_Q8IU85|E2GH13_O75794|E2GH16_O75794|E2GH18_O75794|E2GH26_O75794|O75794_P19075|O75794_P35680|O75794_Q5VVR7|O75794_Q6FHW4|O75794_Q6FHW6|O75794_Q9NQB0|P19075_Q5SQQ7|P19075_Q8IU85|P35680_Q5SQQ7|P35680_Q8IU85|Q5SQQ7_Q6FHW6|Q6FHW6_Q8IU85	6.99669176743224	0	0	no (O75794,P19075,Q8IU85)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
27183006				O14744_P10275|O14744_P11308|O14744_Q12809|O15393_P11308|O15393_Q12809|P10275_P11308|P10275_Q12809	6.99658470813597	2	6		no			no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	no	part
