Entry	input_up	Organism ID
A0A087WSP6	A0A087WSP6	10090
A0A087WSQ4	A0A087WSQ4	10090
A0A087WSQ5	A0A087WSQ5	10090
A0A087WSR2	A0A087WSR2	10090
A0A087WSR8	A0A087WSR8	10090
A0A087WSS2	A0A087WSS2	10090
A0A087WSS7	A0A087WSS7	10090
A0A087WST4	A0A087WST4	10090
A0A096MIS3	A0A096MIS3	10116
A0A096MIT4	A0A096MIT4	10116
A0A096MIU6	A0A096MIU6	10116
A0A096MIV7	A0A096MIV7	10116
A0A096MIW0	A0A096MIW0	10116
A0A096MIW4	A0A096MIW4	10116
A0A096MIX1	A0A096MIX1	10116
A0A096MIY1	A0A096MIY1	10116
A0A096MIY3	A0A096MIY3	10116
A0A096MIY4	A0A096MIY4	10116
A0A096MIY5	A0A096MIY5	10116
A0A096MIY7	A0A096MIY7	10116
A0A096MIZ0	A0A096MIZ0	10116
A0A096MIZ5	A0A096MIZ5	10116
A0A096MIZ9	A0A096MIZ9	10116
A0A096MJ04	A0A096MJ04	10116
A0A096MJ06	A0A096MJ06	10116
A0A096MJ07	A0A096MJ07	10116
A0A096MJ09	A0A096MJ09	10116
A0A096MJ11	A0A096MJ11	10116
A0A096MJ12	A0A096MJ12	10116
A0A096MJ16	A0A096MJ16	10116
A0A096MJ20	A0A096MJ20	10116
A0A096MJ23	A0A096MJ23	10116
A0A096MJ24	A0A096MJ24	10116
A0A096MJ28	A0A096MJ28	10116
A0A096MJ31	A0A096MJ31	10116
A0A096MJ35	A0A096MJ35	10116
A0A096MJ39	A0A096MJ39	10116
A0A096MJ45	A0A096MJ45	10116
A0A096MJ56	A0A096MJ56	10116
A0A096MJ68	A0A096MJ68	10116
A0A096MJ70	A0A096MJ70	10116
A0A096MJ74	A0A096MJ74	10116
A0A096MJ75	A0A096MJ75	10116
A0A096MJ90	A0A096MJ90	10116
A0A096MJ91	A0A096MJ91	10116
A0A096MJ94	A0A096MJ94	10116
A0A096MJ95	A0A096MJ95	10116
A0A096MJ99	A0A096MJ99	10116
A0A096MJA1	A0A096MJA1	10116
A0A096MJA3	A0A096MJA3	10116
A0A096MJA4	A0A096MJA4	10116
A0A096MJA8	A0A096MJA8	10116
A0A096MJC2	A0A096MJC2	10116
A0A096MJC5	A0A096MJC5	10116
A0A096MJD0	A0A096MJD0	10116
A0A096MJD1	A0A096MJD1	10116
A0A096MJD9	A0A096MJD9	10116
A0A096MJE0	A0A096MJE0	10116
A0A096MJE3	A0A096MJE3	10116
A0A096MJE4	A0A096MJE4	10116
A0A096MJE6	A0A096MJE6	10116
A0A096MJE7	A0A096MJE7	10116
