pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_interactions
P10276_Q92731	Q92731	P10276	9841885	9606	1
Q16659_Q92731	Q16659	Q92731	15862947	9606	1
Q15418_Q92731	Q15418	Q92731	9528769	9606	1
Q15418_Q92731	Q15418	Q92731	15862947	9606	1
P00519_Q92731	P00519	Q92731	24960160	9606	1
P56524_Q04206	Q04206	P56524	15988006	9606	1
P38936_P56524	P56524	P38936	18632985	9606	1
P38936_P56524	P56524	P38936	18850004	9606	1
P56524_Q13131	Q13131	P56524	21565617	9606	1
P56524_Q96GD4	Q96GD4	P56524	22865920	9606	1
P56524_P57059	P57059	P56524	10958686	9606	1
O43318_P56524	O43318	P56524	10958686	9606	1
O43318_P56524	O43318	P56524	24904057	9606	1
O43318_P56524	O43318	P56524	10869435	9606	1
P56524_Q12888	Q12888	P56524	16945145	9606	1
P49841_P56524	P49841	P56524	21118993	9606	1
P49841_P56524	P49841	P56524	18045992	9606	1
O43541_P36894	O43541	P36894	10564272	9606	1
O15169_P36894	O15169	P36894	22298955	9606	1
O15169_P36894	O15169	P36894	21145463	9606	1
O95476_P36894	O95476	P36894	17141153	9606	1
P36894_Q9HCE7	Q9HCE7	P36894	17317136	9606	1
P36894_Q9HCE7	Q9HCE7	P36894	22298955	9606	1
P36894_Q9HAU4	Q9HAU4	P36894	22298955	9606	1
P36894_Q99717	P36894	Q99717	19620713	9606	1
P36894_Q99717	P36894	Q99717	10564272	9606	1
O15198_P36894	P36894	O15198	19620713	9606	1
P36894_Q13145	Q13145	P36894	10519551	9606	1
P36894_Q13253	Q13253	P36894	22298955	9606	1
O95393_P36894	O95393	P36894	16049014	9606	1
O95393_P36894	P36894	O95393		9606	1
P24941_Q05516	P24941	Q05516	18246121	9606	1
P20248_Q05516	Q05516	P20248	10023668	9606	1
P20248_Q05516	Q05516	P20248	18246121	9606	1
Q05516_Q16828	Q05516	Q16828	19723763	9606	1
P26951_Q05516	Q05516	P26951	19723763	9606	1
Q02363_Q05516	Q05516	Q02363	19723763	9606	1
