pair_id_clean	ida_clean	idb_clean	pubid	sources	is_directed	is_stimulation	is_inhibition	taxon	OmniPath_interactions
P10275_Q9Y5K2	P10275	Q9Y5K2	15059887	SPIKE	1	1	0	9606	1
P10275_P52788	P10275	P52788	17721441	SPIKE	1	1	0	9606	1
O75164_P10275	O75164	P10275	17555712	Laudanna_effects;Laudanna_sigflow;SPIKE;Wang	1	1	0	9606	1
P10275_Q6IWH7	P10275	Q6IWH7	15761874	SPIKE	1	1	0	9606	1
P10275_P20815	P10275	P20815	17116727	SPIKE	1	1	0	9606	1
P10275_P16118	P10275	P16118	17721441	SPIKE	1	1	0	9606	1
P10275_Q687X5	P10275	Q687X5	15897894	SPIKE	1	1	0	9606	1
P10275_Q6ZMT4	Q6ZMT4	P10275	17277772	SPIKE	1	1	0	9606	1
P23511_Q9ULW8	P23511	Q9ULW8	16671893	SPIKE	1	1	0	9606	1
P23511_P35754	P35754	P23511	19737086	SPIKE	1	1	0	9606	1
O15350_Q14790	Q14790	O15350	18362891	SPIKE	1	1	0	9606	1
P99999_Q14790	Q14790	P99999	10364179	KEGG;SignaLink3	1	1	0	9606	1
P12931_Q14790	P12931	Q14790	16619028	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	0	1	9606	1
P12931_Q14790	P12931	Q14790	18089778	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	0	1	9606	1
P12931_Q14790	P12931	Q14790	18216014	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	0	1	9606	1
P12931_Q14790	P12931	Q14790	19851329	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	0	1	9606	1
P12931_Q14790	P12931	Q14790	18974049	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	0	1	9606	1
P12931_Q14790	Q14790	P12931		Laudanna_effects;Laudanna_sigflow;Wang	1	1	0	9606	1
P42684_Q14790	P42684	Q14790	18458084	SignaLink3	1	0	0	9606	1
P42684_Q14790	Q14790	P42684	18458084	SignaLink3	1	0	0	9606	1
P06493_Q14790	P06493	Q14790	20937773	Signor;PhosphoSite;PhosphoSite_dir;dbPTM;MIMP	1	0	1	9606	1
P06493_Q14790	P06493	Q14790	26036637	Signor;PhosphoSite;PhosphoSite_dir;dbPTM;MIMP	1	0	1	9606	1
P06493_Q14790	P06493	Q14790	24484936	Signor;PhosphoSite;PhosphoSite_dir;dbPTM;MIMP	1	0	1	9606	1
P10914_Q14790	P10914	Q14790	14993214	SPIKE	1	1	0	9606	1
P10914_Q14790	P10914	Q14790	19129219	SPIKE	1	1	0	9606	1
Q14790_Q8TCW9	Q14790	Q8TCW9	11555640	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	0	1	9606	1
Q14790_Q9NWB7	Q9NWB7	Q14790	17898872	ACSN;SignaLink3	1	0	0	9606	1
P08069_P08107	P08069	P08107	10843914	phosphoELM	1	0	0	9606	1
