pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_ptm
P56524_Q16566	Q16566	P56524	10869435	9606	1
P56524_P67775	P67775	P56524		9606	1
P56524_Q96GD4	Q96GD4	P56524		9606	1
P56524_P57059	P57059	P56524	10958686	9606	1
O43318_P56524	O43318	P56524		9606	1
P56524_Q13557	Q13557	P56524		9606	1
P49841_P56524	P49841	P56524		9606	1
P24941_Q05516	P24941	Q05516		9606	1
P42345_Q13547	P42345	Q13547	11602581	9606	1
P68400_Q13547	P68400	Q13547		9606	1
Q01543_Q13547	Q13547	Q01543		9606	1
Q13547_Q96KQ7	Q96KQ7	Q13547	18438403	9606	1
Q04206_Q05513	Q05513	Q04206	15849198	9606	1
Q04206_Q05513	Q05513	Q04206	10521409	9606	1
Q04206_Q05513	Q05513	Q04206	15485852	9606	1
Q04206_Q05513	Q05513	Q04206	12767944	9606	1
Q05513_Q12933	Q05513	Q12933		9606	1
P35568_Q05513	Q05513	P35568	16129678	9606	1
P35568_Q05513	Q05513	P35568	15516986	9606	1
P35568_Q05513	Q05513	P35568		9606	1
P35568_Q05513	Q05513	P35568	16020478	9606	1
P08047_Q05513	Q05513	P08047		9606	1
P31946_Q05513	Q05513	P31946	10620507	9606	1
P31946_Q05513	Q05513	P31946		9606	1
P31946_Q05513	Q05513	P31946	9705322	9606	1
Q05513_Q8TEW0	Q05513	Q8TEW0		9606	1
Q05513_Q15831	Q05513	Q15831		9606	1
Q05513_Q8IX03	Q05513	Q8IX03		9606	1
Q05513_Q15466	Q05513	Q15466		9606	1
Q05513_Q96RI1	Q05513	Q96RI1		9606	1
P35612_Q05513	Q05513	P35612		9606	1
P55042_Q05513	Q05513	P55042	9677319	9606	1
P61587_Q05513	Q05513	P61587		9606	1
Q05513_Q7KZI7	Q05513	Q7KZI7		9606	1
O43315_Q05513	Q05513	O43315	17346701	9606	1
O14920_Q05513	Q05513	O14920		9606	1
Q05513_Q9UBS0	Q05513	Q9UBS0	12529391	9606	1
P55211_Q05513	Q05513	P55211	15703181	9606	1
Q05513_Q5JVS0	Q05513	Q5JVS0		9606	1
P35611_Q05513	Q05513	P35611		9606	1
P35611_Q05513	Q05513	P35611	15611095	9606	1
P35611_Q05513	Q05513	P35611	8810272	9606	1
P14598_Q05513	Q05513	P14598		9606	1
P17252_Q05513	P17252	Q05513	11222751	9606	1
Q05513_Q9Y6Q9	Q05513	Q9Y6Q9		9606	1
P49841_Q05513	Q05513	P49841		9606	1
Q05513_Q6STE5	Q05513	Q6STE5		9606	1
P28329_Q05513	Q05513	P28329		9606	1
P35580_Q05513	Q05513	P35580		9606	1
P49757_Q05513	Q05513	P49757		9606	1
P27448_Q05513	Q05513	P27448		9606	1
O43175_Q05513	Q05513	O43175		9606	1
P55040_Q05513	Q05513	P55040	14701738	9606	1
Q05513_Q16625	Q05513	Q16625		9606	1
P41594_Q05513	Q05513	P41594		9606	1
O43432_Q6P2M8	Q6P2M8	O43432		9606	1
O43432_Q96NX5	Q96NX5	O43432		9606	1
O43432_Q14012	Q14012	O43432	14507913	9606	1
P24941_P29590	P24941	P29590		9606	1
P27361_P29590	P27361	P29590		9606	1
P28482_P29590	P28482	P29590		9606	1
O96017_P29590	O96017	P29590	12402044	9606	1
P29590_P68400	P68400	P29590		9606	1
P29590_Q13164	Q13164	P29590		9606	1
P29590_Q9H2X6	Q9H2X6	P29590	19015637	9606	1
P29590_Q9H2X6	Q9H2X6	P29590	17081983	9606	1
P29590_Q9H2X6	Q9H2X6	P29590		9606	1
P06493_P29590	P06493	P29590		9606	1
P10828_P12931	P12931	P10828		9606	1
P10828_P27361	P27361	P10828	12809513	9606	1
P10828_P28482	P28482	P10828	12809513	9606	1
P08575_P68400	P68400	P08575		9606	1
P08575_Q15835	Q15835	P08575	9111075	9606	1
P24941_P78317	P24941	P78317		9606	1
P24941_P54198	P24941	P54198		9606	1
P27361_Q07869	P27361	Q07869		9606	1
P45983_Q07869	P45983	Q07869	10187842	9606	1
P28482_Q07869	P28482	Q07869		9606	1
P17252_Q07869	P17252	Q07869		9606	1
P27361_Q15788	P27361	Q15788	12163482	9606	1
P28482_Q15788	P28482	Q15788		9606	1
P28482_Q15788	P28482	Q15788	10660621	9606	1
P27361_Q92793	P27361	Q92793		9606	1
Q16566_Q92793	Q16566	Q92793	11463380	9606	1
P28482_Q92793	P28482	Q92793		9606	1
Q16236_Q92793	Q92793	Q16236	21196497	9606	1
P17252_Q92793	P17252	Q92793		9606	1
Q92793_Q9Y6Q9	Q92793	Q9Y6Q9	-	9606	1
P31749_Q92793	P31749	Q92793		9606	1
P24941_Q12959	P24941	Q12959		9606	1
P53667_Q12959	P53667	Q12959	12933808	9606	1
P53778_Q12959	P53778	Q12959		9606	1
P06493_Q12959	P06493	Q12959		9606	1
P17252_Q12959	P17252	Q12959		9606	1
