pair_id	id_a	id_b	pair_id_clean	id_a_clean	id_b_clean	taxid_a	taxid_b	pubid
Q96H20_Q96H20	Q96H20	Q96H20	Q96H20_Q96H20	Q96H20	Q96H20	9606	9606	14505570
O95793_Q96H20	O95793	Q96H20	O95793_Q96H20	O95793	Q96H20	9606	9606	22978549
P11940_Q9BPZ3	P11940	Q9BPZ3	P11940_Q9BPZ3	P11940	Q9BPZ3	9606	9606	11172725
O15144_Q9BR76	O15144	Q9BR76	O15144_Q9BR76	O15144	Q9BR76	9606	9606	16027158
Q8IY21_Q9NPD3	Q8IY21	Q9NPD3	Q8IY21_Q9NPD3	Q8IY21	Q9NPD3	9606	9606	21791617
Q8TF46_Q9NPD3	Q8TF46	Q9NPD3	Q8TF46_Q9NPD3	Q8TF46	Q9NPD3	9606	9606	20531386
P04150_Q9P278	P04150	Q9P278	P04150_Q9P278	P04150	Q9P278	9606	9606	27353360
Q8NFG4_Q9P278	Q8NFG4	Q9P278	Q8NFG4_Q9P278	Q8NFG4	Q9P278	9606	9606	27353360
Q15185_Q9P278	Q15185	Q9P278	Q15185_Q9P278	Q15185	Q9P278	9606	9606	27353360
P11802_Q9P278	P11802	Q9P278	P11802_Q9P278	P11802	Q9P278	9606	9606	27353360
P31948_Q9P278	P31948	Q9P278	P31948_Q9P278	P31948	Q9P278	9606	9606	27353360
P07900_Q9P278	P07900	Q9P278	P07900_Q9P278	P07900	Q9P278	9606	9606	27353360
P15056_Q9P278	P15056	Q9P278	P15056_Q9P278	P15056	Q9P278	9606	9606	27353360
Q16543_Q9P278	Q16543	Q9P278	Q16543_Q9P278	Q16543	Q9P278	9606	9606	27353360
Q8NFG4_Q9P278	Q8NFG4	Q9P278	Q8NFG4_Q9P278	Q8NFG4	Q9P278	9606	9606	18663353
Q13131_Q9P278	Q13131	Q9P278	Q13131_Q9P278	Q13131	Q9P278	9606	9606	18663353
Q9P278_Q9Y478	Q9Y478	Q9P278	Q9P278_Q9Y478	Q9Y478	Q9P278	9606	9606	18403135
Q8NFG4_Q9P278	Q8NFG4	Q9P278	Q8NFG4_Q9P278	Q8NFG4	Q9P278	9606	9606	18403135
P54619_Q9P278	P54619	Q9P278	P54619_Q9P278	P54619	Q9P278	9606	9606	18403135
Q13131_Q9P278	Q13131	Q9P278	Q13131_Q9P278	Q13131	Q9P278	9606	9606	18403135
Q567U6_Q9UBI1	Q567U6	Q9UBI1	Q567U6_Q9UBI1	Q567U6	Q9UBI1	9606	9606	25355947
O60826_Q9UBI1	O60826	Q9UBI1	O60826_Q9UBI1	O60826	Q9UBI1	9606	9606	23563313
