ida	idb	pair_id	ida_clean	idb_clean	pair_id_clean	pubid	GO_IPI
A0A0H2UQI3	A0A0H2UP74	A0A0H2UP74_A0A0H2UQI3	A0A0H2UQI3	A0A0H2UP74	A0A0H2UP74_A0A0H2UQI3	23267104	1
A0A0H2UQJ4	A0A0H2URZ6	A0A0H2UQJ4_A0A0H2URZ6	A0A0H2UQJ4	A0A0H2URZ6	A0A0H2UQJ4_A0A0H2URZ6	23267104	1
A0A0H2UQL5	A0A0H2UP25	A0A0H2UP25_A0A0H2UQL5	A0A0H2UQL5	A0A0H2UP25	A0A0H2UP25_A0A0H2UQL5	23267104	1
A0A0H2UQN3	A0A0H2US45	A0A0H2UQN3_A0A0H2US45	A0A0H2UQN3	A0A0H2US45	A0A0H2UQN3_A0A0H2US45	23267104	1
A0A0H2UQP0	A0A0H2UPF2	A0A0H2UPF2_A0A0H2UQP0	A0A0H2UQP0	A0A0H2UPF2	A0A0H2UPF2_A0A0H2UQP0	23267104	1
A0A0H2UQQ5	A0A0H2UQV8	A0A0H2UQQ5_A0A0H2UQV8	A0A0H2UQQ5	A0A0H2UQV8	A0A0H2UQQ5_A0A0H2UQV8	23267104	1
A0A0H2UQR2	E7DN73	A0A0H2UQR2_E7DN73	A0A0H2UQR2	E7DN73	A0A0H2UQR2_E7DN73	27103053	1
A0A0H2UQS7	A0A0H2UMZ1	A0A0H2UMZ1_A0A0H2UQS7	A0A0H2UQS7	A0A0H2UMZ1	A0A0H2UMZ1_A0A0H2UQS7	23267104	1
A0A0H2UQS7	E7DNA8	A0A0H2UQS7_E7DNA8	A0A0H2UQS7	E7DNA8	A0A0H2UQS7_E7DNA8	27103053	1
A0A0H2UQU1	E7DN73	A0A0H2UQU1_E7DN73	A0A0H2UQU1	E7DN73	A0A0H2UQU1_E7DN73	27103053	1
A0A0H2UQU4	A0A0H2UQY5	A0A0H2UQU4_A0A0H2UQY5	A0A0H2UQU4	A0A0H2UQY5	A0A0H2UQU4_A0A0H2UQY5	23267104	1
A0A0H2UQU9	E7DNA8	A0A0H2UQU9_E7DNA8	A0A0H2UQU9	E7DNA8	A0A0H2UQU9_E7DNA8	27103053	1
A0A0H2UQV8	A0A0H2UQQ5	A0A0H2UQQ5_A0A0H2UQV8	A0A0H2UQV8	A0A0H2UQQ5	A0A0H2UQQ5_A0A0H2UQV8	23267104	1
